,name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths
1219,FireEagle#5116040,499,14036,0.900378472,12,132,11,110,41801,949,3064,2.402531646,395,3306,153929,2209628,232.0722866,195730,15589
1221,Litten_021#8540333,0,0,0.0,0,1,0,0,0,3,0,3.0,0,0,0,300,0.0,0,5
1222,PYRO-ITZMATT99#5950292,0,0,0.0,0,1,0,0,0,1,0,1.0,0,1,0,125,0.0,0,2
1223,BlackStabbath#9221375,693,8486,1.152675903,31,125,14,110,20574,1373,1097,6.240909091,220,2000,86131,2027775,97.53780044,106705,7362
1224,mamiaslo#2159245,3,43,0.425742574,7,3,3,0,149,24,10,4.0,6,14,1369,11000,134.725,1518,101
1225,TheAfricanPxnda#5919696,68,1776,1.23935799,13,23,7,2,4228,122,293,2.44,50,204,25771,202460,338.4393443,29999,1433
1226,SyLvKaStArA1994#8355456,662,26085,0.846998084,13,180,9,110,43971,1386,3216,2.377358491,583,2445,218701,4056974,239.8731602,262672,30797
1227,BennJarmon#4390861,14,344,0.767857143,8,11,6,6,925,42,38,2.470588235,17,87,3154,65960,248.0285714,4079,448
1228,groovyjunior#7180479,15,28,0.301075269,0,8,3,110,0,36,3,36.0,0,9,0,41200,0.0,0,93
1229,GearH3adOli#4513678,19,47,0.505376344,3,6,3,0,74,30,10,10.0,3,2,803,22524,72.42,877,93
1230,VietBoatMan#3693893,168,7213,1.070813539,15,74,8,86,20891,327,1015,2.5546875,128,2403,61572,1165833,271.8091743,82463,6736
1231,usy-si_man#2632866,0,1,0.090909091,0,1,0,110,0,5,0,5.0,0,1,0,1600,0.0,0,11
1232,DROPDEAD APE#5064438,271,4107,0.887041037,14,132,9,111,7068,1293,805,18.47142857,70,669,26996,2212976,39.37447796,34064,4630
1233,Tickkle me Pink#2057775,54,788,0.855591748,11,22,6,20,2289,142,214,3.55,40,130,8721,178848,154.7239437,11010,921
1234,TakM#6121102,1,1,0.5,0,1,0,0,0,1,0,1.0,0,0,0,1350,0.0,0,2
1235,VhaughN#6124996,359,2596,0.824650572,10,66,7,47,5385,638,620,9.114285714,70,402,46486,1082097,62.34075235,51871,3148
1236,Shengx1#3757453,5,98,0.803278689,9,4,2,0,400,9,22,4.5,2,15,2423,14265,262.7333333,2823,122
1237,king7928#5970874,4,6,0.2,1,1,0,1,19,4,1,4.0,0,2,112,1800,42.45,131,30
1238,Lets Ride7883#9442060,0,0,0.0,0,1,0,0,0,4,0,4.0,0,0,0,300,0.0,0,7
1239,ENCODEDBERRY#4469732,40,606,0.619631902,7,15,6,0,2616,77,95,2.40625,32,142,8843,103142,248.7350649,11459,978
1241,Coleton#8963811,357,8929,1.03548649,18,94,17,111,30309,825,1434,2.419354839,341,1940,130916,1443586,155.8858182,161225,8623
1242,IRISH_CarBomb,457,10295,0.929067774,19,104,10,110,18214,867,1966,3.164233577,274,1110,123024,1596735,259.1550173,141238,11081
1243,MTLMOBSTER514_40#9603565,58,1096,0.977698483,12,21,16,2,4424,100,183,2.631578947,38,253,13567,168620,200.682,17991,1121
1245,NoahNunez12#9506852,2,33,0.434210526,4,4,4,110,92,19,2,4.75,4,6,596,12000,92.96842105,688,76
1246,Illotuerehmarico#5161078,0,4,1.0,0,2,0,110,0,2,0,2.0,0,0,0,3500,0.0,0,4
1247,Mucki88#2123504,2,872,0.60137931,8,47,3,111,89,431,182,143.6666667,3,311,600,700783,4.066357309,689,1450
1248,anon40284601#4732083,45,715,0.461290323,11,22,5,16,1982,195,176,3.095238095,63,194,17852,186317,226.1876923,19834,1550
1249,dogukan701#2400035,29,765,1.08974359,11,16,2,27,3032,48,98,3.2,15,102,14498,109425,296.1125,17530,702
1250,MikasaJKU#8932502,288,10083,0.927172414,16,123,20,111,45322,1132,1693,3.339233038,339,1986,160825,1996589,193.9738516,206147,10875
1251,Y8x_x#3190551,69,2732,0.753655172,9,34,6,9,5634,153,432,1.961538462,78,403,35582,397333,243.227451,41216,3625
1252,kSlaps-#3080013,10,78,0.917647059,5,3,2,0,250,17,7,2.428571429,7,17,936,8100,104.9647059,1186,85
1254,구렐리라#7498155,0,12,0.923076923,3,1,1,0,41,1,2,1.0,1,0,192,1525,367.2,233,13
