,name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths
1,JohniceRex#9176033,0,0,0.0,0,1,0,110,0,7,0,7.0,0,0,0,700,0.0,0,16
2,bootybootykill#1892064,0,66,1.03125,0,9,0,110,0,32,16,32.0,0,1,0,48300,0.0,0,64
3,JNaCo#5244172,3,2,0.4,0,1,0,0,0,3,0,3.0,0,0,0,1150,0.0,0,5
4,gomezyayo_007#6596687,0,2,0.2,0,1,0,110,0,5,1,5.0,0,0,0,1000,0.0,0,10
5,Brxndoon7-LK#4002715,684,27011,1.06674302,18,177,10,110,98332,1366,5113,2.323129252,588,6063,305319,3932335,255.6720351,403651,25321
6,bdooory_ab#7095171,4,162,0.6328125,4,6,2,0,568,8,35,2.0,4,68,4836,24485,265.5,5404,256
7,ahevepluto#3505304,186,1898,0.569627851,13,37,7,2,5111,550,485,3.666666667,150,488,39978,458269,180.3796364,45089,3332
9,RPDUNKduo#8122914,26,349,0.444020356,7,12,4,0,996,44,40,2.933333333,15,138,4844,72765,253.6772727,5840,786
11,Rachetevolution,0,26,0.337662338,0,6,0,110,0,37,3,37.0,0,4,0,25108,0.0,0,77
12,CzarnyDelfinek#9059572,188,1949,1.495778972,22,53,4,57,3333,409,536,16.36,25,150,10511,909543,38.63031785,13844,1303
13,Damian291207#7986887,0,0,0.0,0,1,0,0,0,1,0,1.0,0,0,0,200,0.0,0,1
14,SanDrasoSa,15,132,0.631578947,7,5,4,0,549,21,25,3.5,6,31,3153,18430,199.7428571,3702,209
15,DrunkUnc92#7705654,207,3452,0.697796644,10,40,9,110,16134,378,535,2.930232558,129,811,104881,530615,266.0142857,121015,4947
16,whoshotghost#1916366,106,3284,0.946125036,17,41,11,12,11772,255,501,1.9921875,128,532,49715,543830,278.6447059,61487,3471
18,LimpThaDon,190,3033,1.00999001,13,37,8,110,9846,421,489,2.520958084,167,583,42460,458078,152.7306413,52306,3003
19,DeGiove#5248918,605,7764,0.85328058,14,63,8,111,32602,1153,1549,2.638443936,437,1106,125227,1050069,281.4359063,157829,9099
21,teruteru_yt_#6461227,35,900,0.939457203,12,19,5,6,3078,71,197,2.290322581,31,149,10257,149095,300.0169014,13335,958
22,edgexgaming8901#9276950,51,603,0.694700461,11,12,5,0,2483,92,102,2.628571429,35,94,9874,66675,197.3217391,12357,868
23,BrunoMarchione,0,49,0.510416667,0,8,0,110,0,31,7,31.0,0,38,0,38501,0.0,0,96
24,SlaPzz#6879518,42,1233,0.939786585,9,24,7,39,2711,78,296,2.4375,32,197,7274,211625,306.6769231,9985,1312
25,ferni775#9063204,0,1,0.333333333,0,2,0,0,0,2,0,2.0,0,0,0,3975,0.0,0,3
27,CohesiveMango93#8505922,59,1041,0.714972527,8,20,5,0,4335,99,169,2.911764706,34,281,18216,158915,250.2909091,22551,1456
28,Bobdustt#2422031,81,2041,1.145985401,14,29,9,21,7265,169,324,2.011904762,84,481,28320,301903,266.3857988,35585,1781
29,caliopez99#8569536,0,4,0.210526316,0,1,0,0,0,8,0,8.0,0,0,0,2575,0.0,0,19
30,EH4B_367#1401846,7,118,0.983333333,6,4,6,0,314,21,19,1.5,14,9,1311,13255,237.1142857,1625,120
31,sammy7227#7543148,7,16,0.64,4,3,0,0,17,10,3,10.0,0,1,120,9425,23.34,137,25
33,URjustBADXD#7190593,0,0,0.0,0,1,0,0,0,2,0,2.0,0,0,0,100,0.0,0,3
34,DaydayLadd96#1594916,21,363,0.730382294,9,11,4,5,767,33,65,3.666666667,9,49,6360,58550,327.9090909,7127,497
35,S3ND3RBUB12#9216137,80,1213,0.647278549,9,27,7,22,4132,246,196,5.125,48,302,23006,264685,185.6634146,27138,1874
36,Die#1566463,152,4753,1.024574262,11,44,6,7,21934,320,661,2.302158273,139,948,95160,632675,330.991875,117094,4639
37,Jay-WKT#9248671,20,1848,0.709132771,8,74,3,110,1126,840,247,49.41176471,17,255,4332,1166785,11.53642857,5458,2606
38,McWiggins14#5533106,1,6,0.428571429,1,1,0,0,29,1,1,1.0,0,1,96,625,226.2,125,14
39,SharkPawgin#5823839,642,10577,0.851267606,14,144,13,14,36028,1182,1585,3.716981132,318,2187,147179,2557627,172.8086294,183207,12425
41,LEAN GAL#3205759,3,9,0.346153846,2,1,0,0,35,4,4,4.0,0,8,225,1575,338.55,260,26
42,Ludsghy#4258818,57,2155,0.906986532,10,31,7,2,8138,131,489,2.147540984,61,915,53259,325420,226.9053435,61397,2376
43,Macavic#1093672,0,121,1.21,0,18,1,32,0,47,20,47.0,0,0,0,136800,0.0,0,100
44,swayfaze097#4838954,23,414,0.544736842,8,12,5,0,904,41,37,2.5625,16,53,5295,73333,256.4487805,6199,760
45,Jacyków#9892624,536,1081,0.61038961,9,42,4,3,2412,585,136,22.5,26,227,13905,586700,24.69846154,16317,1771
46,Sir_Luffwaffles1#7708807,127,3423,1.06701995,11,63,7,110,8627,491,519,4.91,100,676,31069,1048199,98.70549898,39696,3208
47,Grrrr pow#5106418,244,7783,0.903529139,22,105,8,111,23349,837,1490,4.702247191,178,1655,90714,1616838,123.6236559,114063,8614
48,DeadShot1687#6299823,74,880,0.888888889,8,35,5,110,1549,232,121,13.64705882,17,168,14118,414294,42.00775862,15667,990
51,Unfinishe#7062263,51,2886,1.02087018,15,38,6,100,5588,109,384,2.056603774,53,588,25751,481328,223.4752294,31339,2827
53,Sup Solaay#9600056,17,596,0.819807428,13,15,6,0,1996,39,96,2.052631579,19,152,8578,96234,259.6153846,10574,727
54,Gaqwe33399#4850936,40,195,0.571847507,6,12,4,44,796,51,34,5.1,10,44,3672,69095,111.2941176,4468,341
55,T3agan07#6903176,24,220,0.745762712,5,14,4,9,710,53,50,6.625,8,33,2968,90214,75.0,3678,295
56,Thnikkamaan,136,4987,1.097249725,16,44,6,46,18548,301,1027,2.197080292,137,1189,69686,638080,323.5495017,88234,4545
57,Mystica#3905510,108,2837,0.932303648,10,80,8,111,8535,659,485,9.835820896,67,598,31407,1248840,50.47010622,39942,3043
58,user32849001#6793597,150,3874,0.936201063,12,42,7,27,15214,294,761,2.244274809,131,870,59960,563625,236.3183673,75174,4138
59,lll#3456667,0,30,0.352941176,0,6,0,0,0,40,7,40.0,0,0,0,25500,0.0,0,85
60,Hunter_S_Bombin#4973033,1,28,0.875,6,1,2,0,105,3,9,1.5,2,2,602,3050,319.8,707,32
61,blackiechan00,101,2750,0.745257453,10,38,8,110,10051,258,528,2.031496063,127,809,43844,481785,267.8790698,53895,3690
62,XReyesT18#7041180,0,24,0.269662921,0,5,0,110,0,44,6,44.0,0,7,0,19625,0.0,0,89
63,FaZe Splitter#1010390,504,12870,1.263995286,20,141,28,26,21774,1245,2569,1.954474097,637,1506,62751,2470760,295.4674699,84525,10182
68,Mhamed9772#8788714,0,2,0.2,0,1,0,0,0,5,0,5.0,0,0,0,955,0.0,0,10
